MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2017,Volkswagen,Ameo HIGHLINE 1.5L AT (D),Automatic,"77,577 km",DieselTS-12,1st Owner,"₹6,66,599"
2018,Maruti,Dzire VXI AMT,Automatic,"52,127 km",PetrolTS-09,2nd Owner,"₹6,86,299"
2017,Maruti,Ciaz ALPHA 1.4 VVT AMT,Automatic,"54,211 km",PetrolTS-09,2nd Owner,"₹7,72,999"
2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"81,544 km",PetrolTS-15,2nd Owner,"₹4,57,299"
2016,Honda,Amaze 1.2 SMT I VTEC,Manual,"99,890 km",PetrolTS-07,1st Owner,"₹4,72,099"
2019,Maruti,Dzire ZDI Plus AMT,Automatic,"80,402 km",DieselKA-04,1st Owner,"₹7,83,099"
2018,Hyundai,Xcent SX 1.2,Manual,"51,602 km",PetrolKA-51,1st Owner,"₹6,17,499"
2011,Honda,Civic 1.8V MT SUN ROOF,Manual,"25,797 km",PetrolKA-01,1st Owner,"₹5,24,999"
2014,Maruti,Swift Dzire VXI,Manual,"50,960 km",PetrolKA-41,1st Owner,"₹5,48,799"
2015,Honda,City SV MT PETROL,Manual,"58,095 km",PetrolKA-03,1st Owner,"₹6,61,299"
2012,Honda,City V MT PETROL,Manual,"59,732 km",PetrolKA-05,2nd Owner,"₹5,15,699"
2019,Honda,City ZX CVT,Automatic,"42,538 km",PetrolKA-05,1st Owner,"₹11,65,299"
2017,Honda,City VX MT PETROL,Manual,"26,214 km",PetrolKA-09,1st Owner,"₹9,11,899"
2020,Honda,City V MT PETROL,Manual,"14,829 km",PetrolKA-01,1st Owner,"₹10,48,099"
2015,Maruti,Ciaz ZDI+ SHVS,Manual,"86,697 km",DieselKA-02,1st Owner,"₹6,90,899"
2016,Maruti,Swift Dzire ZDI AMT,Automatic,"96,296 km",DieselKA-01,1st Owner,"₹6,84,299"
2014,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"68,244 km",DieselKA-05,2nd Owner,"₹6,36,499"
2018,Maruti,Ciaz ALPHA 1.3 DDIS SHVS,Manual,"53,644 km",DieselKA-06,2nd Owner,"₹8,77,699"
2015,Hyundai,Verna FLUIDIC 1.4 VTVT,Manual,"23,313 km",PetrolKA-01,1st Owner,"₹6,33,399"
2015,Honda,City VX MT PETROL,Manual,"47,190 km",PetrolKA-03,1st Owner,"₹8,94,699"
2014,Maruti,Swift Dzire ZDI,Manual,"98,003 km",DieselKA-51,1st Owner,"₹5,78,449"
2017,Hyundai,Verna 1.6 SX VTVT,Manual,"26,658 km",PetrolKA-05,1st Owner,"₹8,47,299"
